name,matchweek,goals,assists,clean_sheets,minutes_played,points
Harrison Ashby,1,0,0,0,0,0
Billy Gilmour,1,0,0,0,16,1
John Egan,1,0,0,0,90,2
Mikkel Damsgaard,1,0,0,0,41,1
Angelo Ogbonna,1,0,0,0,0,0
Chris Basham,1,0,0,0,79,2
Son Heung-min,1,0,0,0,74,2
Joe Gomez,1,0,0,0,0,0
Darren Randolph,1,0,0,0,0,0
Ben Johnson,1,0,0,0,0,0
Pedro Porro,1,0,0,0,0,0
Manuel Benson Hedilazio,1,0,0,0,16,1
Levi Colwill,1,0,0,0,90,2
Jonathan Panzo,1,0,0,0,0,0
Pablo Fornals Malla,1,0,0,0,85,2
Elijah Adebayo,1,0,0,0,63,2
Rico Henry,1,0,1,0,90,4
Bobby Clark,1,0,0,0,0,0
Flynn Downes,1,0,0,0,0,0
Ben Greenwood,1,0,0,0,0,0
Joe Willock,1,0,0,0,0,0
Javier Manquillo Gaitán,1,0,0,0,0,0
Kobbie Mainoo,1,0,0,0,0,0
Dominic Calvert-Lewin,1,0,0,0,0,0
Tommy Doyle,1,0,0,0,0,0
Halil Dervişoğlu,1,0,0,0,0,0
Gabriel Osho,1,0,0,0,0,0
João Pedro Junqueira de Jesus,1,1,0,0,87,7
Kurt Zouma,1,0,0,0,90,2
Omar Richards,1,0,0,0,0,0
Iliman Ndiaye,1,0,0,0,0,0
Elliot Thorpe,1,0,0,0,0,0
Shea Charles,1,0,0,0,0,0
Joe Rodon,1,0,0,0,0,0
Neal Maupay,1,0,0,1,71,2
Jordan Ayew,1,0,1,1,90,6
Divin Mubama,1,0,0,0,0,0
Nathaniel Phillips,1,0,0,0,0,0
Dominik Szoboszlai,1,0,0,0,90,2
Jordan Clark,1,0,0,0,0,0
Mason Mount,1,0,0,1,67,3
Ellery Balcombe,1,0,0,0,0,0
David Brooks,1,0,0,0,74,2
Pascal Groß,1,0,0,0,90,2
John McGinn,1,0,0,0,63,2
Tanguy Ndombélé Alvaro,1,0,0,0,0,0
Jairo Riedewald,1,0,0,0,0,0
Yoane Wissa,1,1,0,0,71,9
Reiss Nelson,1,0,0,0,0,0
Facundo Pellistri Rebollo,1,0,0,0,13,1
James Hill,1,0,0,0,15,1
Bruno Cavaco Jordão,1,0,0,0,0,0
Kjell Scherpen,1,0,0,0,0,0
Máximo Perrone,1,0,0,0,0,0
Aleksandar Mitrović,1,0,0,0,32,1
Kevin Schade,1,0,0,0,18,1
Moussa Niakhaté,1,0,0,0,0,0
Paul Dummett,1,0,0,0,0,0
Sven Botman,1,0,1,0,90,5
Issa Diop,1,0,0,1,90,8
Aaron Ramsdale,1,0,0,0,90,2
Tosin Adarabioyo,1,0,0,0,0,0
Trent Alexander-Arnold,1,0,0,0,90,1
Anass Zaroury,1,0,0,0,30,-2
Pervis Estupiñán,1,0,1,0,90,7
Chiedozie Ogbene,1,0,0,0,14,1
Harvey Elliott,1,0,0,0,13,1
Jack Robinson,1,0,0,0,79,2
Gabriel Martinelli Silva,1,0,1,0,85,5
Wout Weghorst,1,0,0,0,0,0
Jhon Durán,1,0,0,0,0,0
Oscar Bobb,1,0,0,0,0,0
Michail Antonio,1,0,0,1,77,1
Malang Sarr,1,0,0,0,0,0
Ângelo Gabriel Borges Damaceno,1,0,0,0,0,0
Micky van de Ven,1,0,0,0,90,1
Shola Shoretire,1,0,0,0,0,0
Lisandro Martínez,1,0,0,0,45,0
Alex Mighten,1,0,0,0,0,0
Bryan Mbeumo,1,1,0,0,90,7
Nicolas Pépé,1,0,0,0,0,0
Alexis Mac Allister,1,0,0,0,90,1
Omari Kellyman,1,0,0,0,0,0
Youri Tielemans,1,0,0,0,45,1
Remo Freuler,1,0,0,0,0,0
Illia Zabarnyi,1,0,0,0,90,2
Karl Hein,1,0,0,0,0,0
Aaron Connolly,1,0,0,0,0,0
Dean Henderson,1,0,0,0,0,0
Jay Rodriguez,1,0,0,0,0,0
Marcos Senesi,1,0,0,0,59,1
Granit Xhaka,1,0,0,0,0,0
James Trafford,1,0,0,0,90,2
Dan Burn,1,0,0,0,90,2
Saïd Benrahma,1,0,0,0,90,2
Brandon Aguilera Zamora,1,0,0,0,0,0
Tyler Onyango,1,0,0,0,0,0
Joe Taylor,1,0,0,0,0,0
Karl Darlow,1,0,0,0,0,0
Joachim Andersen,1,0,0,1,90,9
Allan Campbell,1,0,0,0,0,0
Carlos Mendes Gomes,1,0,0,0,0,0
Pedro Lomba Neto,1,0,0,0,90,1
Luc De Fougerolles,1,0,0,0,0,0
Dane Scarlett,1,0,0,0,0,0
Lucas Digne,1,0,0,0,90,-1
Enzo Fernández,1,0,0,0,90,1
Matt Targett,1,0,0,0,0,0
Demarai Gray,1,0,0,0,0,0
Stefan Ortega Moreno,1,0,0,0,0,0
Sam Johnstone,1,0,0,1,90,6
Emiliano Buendía Stati,1,0,0,0,0,0
Alexandre Moreno Lopera,1,0,0,0,0,0
Japhet Tanganga,1,0,0,0,0,0
Marvelous Nakamba,1,0,0,0,90,2
Nathan Collins,1,0,0,0,90,1
Leandro Trossard,1,0,0,0,17,1
Antony Matheus dos Santos,1,0,0,1,76,3
Trevoh Chalobah,1,0,0,0,0,0
Luke Cundle,1,0,0,0,0,0
Lukasz Fabianski,1,0,0,0,0,0
Tino Livramento,1,0,0,0,0,0
Aymeric Laporte,1,0,0,0,11,1
Kieran Trippier,1,0,0,0,90,2
Richarlison de Andrade,1,0,0,0,90,2
John McAtee,1,0,0,0,0,0
Jayden Bogle,1,0,0,0,0,0
Jason Steele,1,0,0,0,90,2
Nick Pope,1,0,0,0,90,3
Kai Havertz,1,0,0,0,90,2
Wesley Moraes Ferreira da Silva,1,0,0,0,0,0
Vladimír Coufal,1,0,0,0,90,2
Marcus Rashford,1,0,0,1,87,3
Lewis O'Brien,1,0,0,0,0,0
Evan Ferguson,1,1,0,0,12,5
Tom McGill,1,0,0,0,0,0
Yves Bissouma,1,0,0,0,90,2
João Victor Gomes da Silva,1,0,0,0,87,2
Abdoulaye Doucouré,1,0,0,0,90,2
Ederson Santana de Moraes,1,0,0,1,90,6
Virgil van Dijk,1,0,0,0,90,2
Willy Boly,1,0,0,0,90,1
Scott McTominay,1,0,0,0,2,1
Rico Lewis,1,0,0,1,78,6
Alejandro Garnacho,1,0,0,1,67,3
Jean-Philippe Gbamin,1,0,0,0,0,0
Lewis Dobbin,1,0,0,0,7,1
Riyad Mahrez,1,0,0,0,0,0
Matija Šarkić,1,0,0,0,0,0
Auston Trusty,1,0,0,0,0,0
Anthony Gordon,1,0,1,0,67,4
Emmanuel Dennis,1,0,0,0,0,0
Nathaniel Clyne,1,0,0,0,0,0
Thiago Alcántara do Nascimento,1,0,0,0,0,0
Ryan Giles,1,0,0,0,90,0
Admiral Muskwe,1,0,0,0,0,0
Edson Álvarez Velázquez,1,0,0,0,0,0
Jakub Kiwior,1,0,0,0,0,0
Lloyd Kelly,1,0,0,0,0,0
Vitalii Mykolenko,1,0,0,0,0,0
Aidan Francis-Clarke,1,0,0,0,0,0
Emerson Leite de Souza Junior,1,1,0,0,90,8
Joël Veltman,1,0,0,0,11,1
Miguel Almirón Rejala,1,0,0,0,85,2
Bobby Thomas,1,0,0,0,0,0
Charlie Goode,1,0,0,0,0,0
Alejo Véliz,1,0,0,0,0,0
Kepa Arrizabalaga,1,0,0,0,0,0
Mark Travers,1,0,0,0,0,0
Guglielmo Vicario,1,0,0,0,90,1
Isaac Hayden,1,0,0,0,0,0
Jamaal Lascelles,1,0,0,0,0,0
Andrew Robertson,1,0,0,0,90,2
Giovani Lo Celso,1,0,0,0,0,0
Jeffrey Schlupp,1,0,0,1,90,3
Alex Iwobi,1,0,0,0,90,2
Cody Gakpo,1,0,0,0,65,2
Nicolas Jackson,1,0,0,0,90,1
Nikola Vlašić,1,0,0,0,0,0
Adam Lallana,1,0,0,0,0,0
Hugo Bueno López,1,0,0,0,13,1
Alphonse Areola,1,0,0,0,90,3
Alisson Ramses Becker,1,0,0,0,90,3
Pape Matar Sarr,1,0,0,0,15,1
Aribim Pepple,1,0,0,0,0,0
Matt Doherty,1,0,0,0,0,0
Gonçalo Manuel Ganchinho Guedes,1,0,0,0,0,0
Ellis Simms,1,0,0,0,0,0
Jonathan Castro Otto,1,0,0,0,0,0
Taiwo Awoniyi,1,1,0,0,19,7
Mads Roerslev Rasmussen,1,0,0,0,18,1
Calvin Bassey,1,0,0,0,0,0
Konstantinos Tsimikas,1,0,0,0,0,0
Mahmoud Dahoud,1,0,0,1,73,3
Ian Maatsen,1,0,0,0,9,1
Max Lowe,1,0,0,0,79,2
Joe Whitworth,1,0,0,0,0,0
Thomas Cannon,1,0,0,0,0,0
Hannibal Mejbri,1,0,0,0,0,0
Boubacar Kamara,1,0,0,0,90,2
Andrey Nascimento dos Santos,1,0,0,0,0,0
Loris Karius,1,0,0,0,0,0
Bart Verbruggen,1,0,0,0,0,0
Tahith Chong,1,0,0,0,87,2
Morgan Sanson,1,0,0,0,0,0
Bernd Leno,1,0,0,1,90,12
Josh Dasilva,1,0,0,0,0,0
Josh Bowler,1,0,0,0,0,0
Oleksandr Zinchenko,1,0,0,0,0,0
Tyrese Francois,1,0,0,0,0,0
Callum Wilson,1,1,0,0,22,5
Allan Saint-Maximin,1,0,0,0,0,0
Zeki Amdouni,1,0,0,0,60,2
Steven Alzate,1,0,0,0,0,0
Jóhann Berg Gudmundsson,1,0,0,0,0,0
Keinan Davis,1,0,0,0,0,0
Bruno Borges Fernandes,1,0,0,1,90,3
Hamed Traorè,1,0,0,0,0,0
Jeremy Sarmiento Morante,1,0,0,0,0,0
Issa Kaboré,1,0,0,0,63,1
Sam Surridge,1,0,0,0,0,0
Reece Burke,1,0,0,0,0,0
Jesurun Rak-Sakyi,1,0,0,0,0,0
Gabriel Fernando de Jesus,1,0,0,0,0,0
Dara O'Shea,1,0,0,0,90,1
Eric Dier,1,0,0,0,0,0
Joel Ward,1,0,0,1,90,6
Harvey Barnes,1,1,1,0,22,11
Mateo Kovačić,1,0,0,1,67,3
Ashley Young,1,0,0,0,90,2
Aaron Cresswell,1,0,0,0,0,0
Sergio Reguilón,1,0,0,0,0,0
Morgan Gibbs-White,1,0,0,0,90,2
Raphaël Varane,1,1,0,1,90,14
Igor Julio dos Santos de Paulo,1,0,0,0,0,0
Brandon Williams,1,0,0,0,0,0
Hugo Lloris,1,0,0,0,0,0
Fabian Schär,1,0,0,0,90,2
Orel Mangala,1,0,0,0,89,1
Frederico Rodrigues de Paula Santos,1,0,0,0,0,0
Marek Rodák,1,0,0,0,0,0
Shandon Baptiste,1,0,0,0,18,1
Michał Karbownik,1,0,0,0,0,0
Mason Burstow,1,0,0,0,0,0
André Onana,1,0,0,1,90,9
Julián Álvarez,1,0,1,1,90,5
Maxwel Cornet,1,0,0,0,1,1
Terence Kongolo,1,0,0,0,0,0
Caoimhin Kelleher,1,0,0,0,0,0
Ivan Neves Abreu Cavaleiro,1,0,0,0,0,0
Chris Mepham,1,0,0,0,30,0
Facundo Buonanotte,1,0,0,0,0,0
Samuel Bastien,1,0,0,0,0,0
John Fleck,1,0,0,0,0,0
Rodrigo Muniz Carvalho,1,0,0,0,0,0
Arijanet Muric,1,0,0,0,0,0
Josh Cullen,1,0,0,0,90,2
Thomas Strakosha,1,0,0,0,0,0
Fábio Ferreira Vieira,1,0,0,0,0,0
Cheick Doucouré,1,0,0,1,90,3
Joe Hodge,1,0,0,0,0,0
Omari Forson,1,0,0,0,0,0
Joel Matip,1,0,0,0,0,0
Davinson Sánchez,1,0,0,0,76,0
Craig Dawson,1,0,0,0,90,2
Toti António Gomes,1,0,0,0,0,0
Nayef Aguerd,1,0,0,0,90,2
Diogo Dalot Teixeira,1,0,0,0,0,0
Amadou Onana,1,0,0,0,90,2
Adrián San Miguel del Castillo,1,0,0,0,0,0
Youssef Ramalho Chermiti,1,0,0,0,0,0
Bukayo Saka,1,1,0,0,90,10
Ben Mee,1,0,0,0,0,0
Joe Worrall,1,0,0,0,89,1
Diego Carlos Santos Silva,1,0,0,0,26,0
Lewis Cook,1,0,0,0,0,0
Bendegúz Bolla,1,0,0,0,0,0
Malo Gusto,1,0,0,0,14,1
Amari'i Bell,1,0,0,0,90,0
Dele Alli,1,0,0,0,0,0
Noni Madueke,1,0,0,0,0,0
Milos Kerkez,1,0,0,0,90,2
Luke Berry,1,0,0,0,2,1
Kortney Hause,1,0,0,0,0,0
Will Hughes,1,0,0,0,0,0
Alexander Isak,1,2,0,0,67,13
John-Kymani Gordon,1,0,0,0,0,0
Cheikhou Kouyaté,1,0,0,0,1,1
Cédric Alves Soares,1,0,0,0,0,0
Pierre-Emerick Aubameyang,1,0,0,0,0,0
Garang Kuol,1,0,0,0,0,0
Antwoine Hackford,1,0,0,0,3,1
Ethan Pinnock,1,0,0,0,90,1
Jay Stansfield,1,0,0,0,0,0
Ryan Yates,1,0,0,0,90,2
Frank Onyeka,1,0,0,0,0,0
Naouirou Ahamada,1,0,0,0,0,0
Philip Billing,1,0,0,0,90,2
Gabriel Słonina,1,0,0,0,0,0
Marc Guéhi,1,0,0,1,90,6
Seamus Coleman,1,0,0,0,0,0
Diogo Teixeira da Silva,1,0,0,0,65,1
Matthew Dibley-Dias,1,0,0,0,0,0
James McAtee,1,0,0,0,1,1
Erling Haaland,1,2,0,1,79,13
Jack Cork,1,0,0,0,0,0
Anthony Martial,1,0,0,0,0,0
Danny Welbeck,1,0,0,1,77,2
Carlos Vinícius Alves Morais,1,0,0,0,0,0
Olu Aina,1,0,0,0,71,0
Rodrigo Hernandez,1,1,1,1,90,13
Victor Lindelöf,1,0,0,0,45,1
Kevin De Bruyne,1,0,0,0,22,1
George Shelvey,1,0,0,0,0,0
Lucas Bergström,1,0,0,0,0,0
Yasin Ayari,1,0,0,0,0,0
Lewis Miley,1,0,0,0,0,0
Fred Onyedinma,1,0,0,0,0,0
Gustavo Henrique Furtado Scarpa,1,0,0,0,0,0
Aaron Hickey,1,0,0,0,71,0
Mads Bidstrup,1,0,0,0,0,0
Solly March,1,1,0,1,73,9
David Datro Fofana,1,0,0,0,0,0
Declan Rice,1,0,0,0,90,2
Kacper Kozłowski,1,0,0,0,0,0
Joe Rothwell,1,0,0,0,90,2
Vini de Souza Costa,1,0,0,0,10,1
Ben Doak,1,0,0,0,13,1
Sander Berge,1,0,0,0,90,2
Fabio Henrique Tavares,1,0,0,0,0,0
Louie Marsh,1,0,0,0,0,0
Oliver McBurnie,1,0,0,0,0,0
Mathias Jensen,1,0,1,0,48,4
Matt Macey,1,0,0,0,0,0
Wesley Fofana,1,0,0,0,0,0
Ryan Fredericks,1,0,0,0,0,0
Max Kilman,1,0,0,0,90,2
Nathan Aké,1,0,0,1,78,7
Lewis Hall,1,0,0,0,0,0
Elliot Anderson,1,0,0,0,1,1
Mykhailo Mudryk,1,0,0,0,9,1
Siriki Dembélé,1,0,0,0,0,0
Dejan Kulusevski,1,0,0,0,90,2
Daniel Castelo Podence,1,0,0,0,0,0
Michale Olakigbe,1,0,0,0,0,0
Conor Gallagher,1,0,0,0,90,2
Eberechi Eze,1,0,0,1,90,3
Jonjo Shelvey,1,0,0,0,0,0
Thilo Kehrer,1,0,0,0,4,1
Ameen Al-Dakhil,1,0,0,0,90,1
Hwang Ui-jo,1,0,0,0,0,0
Julio Enciso,1,0,0,0,2,1
Norberto Murara Neto,1,0,0,0,90,2
Richie Laryea,1,0,0,0,0,0
Antonee Robinson,1,0,0,1,90,6
Raúl Jiménez,1,0,0,0,57,1
Louie Watson,1,0,0,0,0,0
Hwang Hee-chan,1,0,0,0,27,1
Willian Borges da Silva,1,0,0,0,45,0
Rhian Brewster,1,0,0,0,0,0
Tom Lockyer,1,0,0,0,90,0
Jordan Pickford,1,0,0,0,90,2
Anis Slimane,1,0,0,0,10,0
Bruno Guimarães Rodriguez Moura,1,0,0,0,84,1
Ryan Fraser,1,0,0,0,0,0
Anthony Knockaert,1,0,0,0,0,0
Harry Maguire,1,0,0,0,0,0
Matheus Santos Carneiro Da Cunha,1,0,0,0,76,2
Francisco Jorge Tomás Oliveira,1,0,0,0,0,0
Ki-Jana Hoever,1,0,0,0,0,0
Jacob Bruun Larsen,1,0,0,0,29,1
Loïc Mbe Soh,1,0,0,0,0,0
Moussa Diaby,1,1,0,0,86,7
Alfie Doughty,1,0,0,0,26,0
João Cancelo,1,0,0,0,0,0
Pau Torres,1,0,0,0,59,0
Mohamed Elneny,1,0,0,0,0,0
Jarrad Branthwaite,1,0,0,0,0,0
Martin Ødegaard,1,0,0,0,90,2
Matheus Luiz Nunes,1,0,0,0,90,2
Tom King,1,0,0,0,0,0
Rúben Gato Alves Dias,1,0,0,0,0,0
Dan Potts,1,0,0,0,0,0
Djed Spence,1,0,0,0,0,0
Cameron Archer,1,0,0,0,0,0
Emiliano Martínez Romero,1,0,0,0,90,1
Bobby De Cordova-Reid,1,1,0,0,45,6
Tomáš Souček,1,0,1,0,90,7
Ross Barkley,1,0,0,0,0,0
Joško Gvardiol,1,0,0,0,11,1
Cole Palmer,1,0,0,0,10,1
Ivan Perišić,1,0,0,0,15,1
Jordan Amissah,1,0,0,0,0,0
Carlos Henrique Casimiro,1,0,0,1,90,3
Tom Heaton,1,0,0,0,0,0
Sepp van den Berg,1,0,0,0,0,0
Anel Ahmedhodžić,1,0,0,0,90,1
Max Aarons,1,0,0,0,74,2
Josh Powell,1,0,0,0,0,0
Cristian Romero,1,1,0,0,13,7
Daniel Bentley,1,0,0,0,0,0
Ethan Ampadu,1,0,0,0,0,0
Jan Paul van Hecke,1,0,0,0,90,2
Yasser Larouci,1,0,0,0,10,1
Carney Chukwuemeka,1,0,0,0,80,1
Carlton Morris,1,1,0,0,90,8
Adam Davies,1,0,0,0,0,0
Tyrick Mitchell,1,0,0,1,90,8
James Maddison,1,0,2,0,90,9
Cauley Woodrow,1,0,0,0,2,1
Mohamed Salah,1,0,1,0,76,5
Harry Kane,1,0,0,0,0,0
Yegor Yarmolyuk,1,0,0,0,0,0
Zack Steffen,1,0,0,0,0,0
Antoine Semenyo,1,0,1,0,15,4
Christian Pulisic,1,0,0,0,0,0
Adam Webster,1,0,0,0,0,0
Darwin Núñez Ribeiro,1,0,0,0,24,1
Axel Disasi,1,1,0,0,90,11
Enock Agyei,1,0,0,0,0,0
Folarin Balogun,1,0,0,0,0,0
Tyrone Mings,1,0,0,0,30,0
Conor Coventry,1,0,0,0,0,0
Ismaila Coulibaly,1,0,0,0,0,0
Josh Brownhill,1,0,0,0,1,1
Fraser Forster,1,0,0,0,0,0
Jefferson Lerma Solís,1,0,0,1,90,3
Luke Freeman,1,0,0,0,0,0
Lewis Dunk,1,0,0,0,90,2
César Azpilicueta,1,0,0,0,0,0
Steve Cook,1,0,0,0,0,0
Hjalmar Ekdal,1,0,0,0,0,0
Alex Telles,1,0,0,0,0,0
José Malheiro de Sá,1,0,0,0,90,2
João Neves Virgínia,1,0,0,0,0,0
Saša Lukić,1,0,0,1,90,3
Emiliano Marcondes,1,0,0,0,0,0
Jacob Ramsey,1,0,0,0,0,0
Sandro Tonali,1,1,0,0,90,6
Keane Lewis-Potter,1,0,0,0,0,0
Dwight McNeil,1,0,0,0,0,0
Moisés Caicedo Corozo,1,0,0,0,0,0
Jorge Luiz Frello Filho,1,0,0,0,0,0
Kenny Tete,1,0,0,1,90,5
Darko Churlinov,1,0,0,0,0,0
Jack Walton,1,0,0,0,0,0
Adam Smith,1,0,0,0,0,0
CJ Egan-Riley,1,0,0,0,0,0
Romelu Lukaku Bolingoli,1,0,0,0,0,0
James Garner,1,0,0,0,82,2
Thiago Emiliano da Silva,1,0,0,0,90,2
Rob Holding,1,0,0,0,0,0
Aaron Wan-Bissaka,1,0,1,1,90,12
Deniz Undav,1,0,0,0,0,0
Álvaro Fernández Carreras,1,0,0,0,0,0
Bertrand Traoré,1,0,0,0,0,0
Nathan Patterson,1,0,0,0,90,2
Christopher Nkunku,1,0,0,0,0,0
Serge Aurier,1,0,0,0,90,1
Tom Cairney,1,0,0,0,57,1
Harry Arter,1,0,0,0,0,0
Mohamed Dräger,1,0,0,0,0,0
Rúnar Alex Rúnarsson,1,0,0,0,0,0
Scott Carson,1,0,0,0,0,0
Bénie Traoré,1,0,0,0,86,2
Jurriën Timber,1,0,0,0,49,0
Jordan Beyer,1,0,0,0,73,1
Wes Foderingham,1,0,0,0,90,4
Odsonne Edouard,1,1,0,1,90,7
Jamal Lowe,1,0,0,0,0,0
Owen Dodgson,1,0,0,0,0,0
Matt Ritchie,1,0,0,0,0,0
Lyle Foster,1,0,0,0,90,2
James Milner,1,0,0,1,78,3
Nathan Redmond,1,0,0,0,1,1
Mathias Jorgensen,1,0,0,0,6,1
Michael Olise,1,0,0,0,0,0
Oliver Skipp,1,0,0,0,74,1
Leander Dendoncker,1,0,0,0,0,0
Scott McKenna,1,0,0,0,90,1
Michael Keane,1,0,0,0,90,2
Sasa Kalajdzic,1,0,0,0,2,1
Jarrod Bowen,1,1,0,0,90,9
Matt Turner,1,0,0,0,90,2
Raheem Sterling,1,0,0,0,80,2
Kell Watts,1,0,0,0,0,0
Mads Juel Andersen,1,0,0,0,75,0
Sergi Canós Tenés,1,0,0,0,0,0
Ryan Christie,1,0,0,0,66,2
Robert Sánchez,1,0,0,0,90,2
Gavin Kilkenny,1,0,0,0,0,0
Armando Broja,1,0,0,0,0,0
Dominic Solanke,1,1,0,0,90,7
Chris Wood,1,0,0,0,1,1
Alex Scott,1,0,0,0,0,0
